item_id,title,series_name,vol_no,edition_type,special_benefits,author,publisher,release_date,price,rating,sales_point,rank,collected_at
391649143,너를 잊을 사랑이 하고 싶어 6,너를 잊을 사랑이 하고 싶어,6,,,유우키 하루,대원씨아이(만화),2026-04,5850,9.8,2253,776,2026-09-07T08:54:48+09:00
393803230,J⇔M 제이엠 6,J⇔M 제이엠,6,,,오타케 마사오,대원씨아이(만화),2026-05,6300,10.0,2215,777,2026-09-07T08:54:48+09:00
374484302,서유요원전 서역편 : 화염산의 장 1,서유요원전 서역편 : 화염산의 장,1,,,모로호시 다이지로,문학동네,2025-10,9900,9.8,2216,778,2026-09-07T08:54:48+09:00
344689794,네가 죽을 때까지 사랑하고 싶어 7,네가 죽을 때까지 사랑하고 싶어,7,,,나치 아오노,학산문화사(만화),2024-08,5400,10.0,2215,779,2026-09-07T08:54:48+09:00
399782294,네즈미의 첫사랑 7,네즈미의 첫사랑,7,,,오오세토 리쿠,학산문화사(만화),2026-08,5400,,2040,780,2026-09-07T08:54:48+09:00
221329459,마도정병의 슬레이브 1,마도정병의 슬레이브,1,,,타케무라 요헤이,대원씨아이(만화),2019-12,4950,5.3,2167,781,2026-09-07T08:54:48+09:00
383535079,통제구역관리부 1,통제구역관리부,1,,,탄광,다산코믹스,2026-01,18900,10.0,2116,782,2026-09-07T08:54:48+09:00
333690666,건방진 그 녀석 2,건방진 그 녀석,2,,,미츠바치 미유키,학산문화사(만화),2016-05,5400,10.0,2152,783,2026-09-07T08:54:48+09:00
393756001,둘이서 사랑을 하는 이유 12,둘이서 사랑을 하는 이유,12,,- 완결,히로 치히로,대원씨아이(만화),2026-05,4500,10.0,2235,784,2026-09-07T08:54:48+09:00
381493741,얼음 성벽 12,얼음 성벽,12,,,아가사와 코챠,학산문화사(만화),2025-12,9000,10.0,2084,785,2026-09-07T08:54:48+09:00
399050537,리코리스 리코일 4 (더블 특전판),리코리스 리코일,4,더블 특전판,- 초판 특전 : 포토카드 2종,비젠 야스노리,YNK MEDIA(만화),2026-07,5400,10.0,2030,786,2026-09-07T08:54:48+09:00
396137541,여름엔 늘 좋은 일이 생긴다,여름엔 늘 좋은 일이 생긴다,,,- 이윤희 만화집,이윤희,고트(goat),2026-06,20900,8.0,1985,787,2026-09-07T08:54:48+09:00
396097455,장송의 프리렌 5,장송의 프리렌,5,,,야마다 카네히토,학산문화사(만화),2026-06,6300,,1675,788,2026-09-07T08:54:48+09:00
352662803,소라닌 신장판,소라닌 신장판,,,,아사노 이니오,서울미디어코믹스(서울문화사),2024-11,18000,8.0,1843,789,2026-09-07T08:54:48+09:00
399291160,우리 남동생들이 죄송합니다 9,우리 남동생들이 죄송합니다,9,,,오자키 아키라,대원씨아이(만화),2026-07,4500,10.0,1695,790,2026-09-07T08:54:48+09:00
396564373,사장과 술과 별 1,사장과 술과 별,1,,,즈리 키시,대원씨아이(만화),2026-06,5850,,1670,791,2026-09-07T08:54:48+09:00
301188387,나루토 Naruto 44,나루토 Naruto,44,,,키시모토 마사시,대원씨아이(만화),2009-03,4950,,1772,792,2026-09-07T08:54:48+09:00
400001277,할렐루야 베이비 5,할렐루야 베이비,5,,,코지마 라라,AK(에이케이)커뮤니케이션즈,2026-08,5850,,1635,793,2026-09-07T08:54:48+09:00
400364294,이기적 연애론 3,이기적 연애론,3,,,교교박,다산코믹스,2026-08,16020,,1660,794,2026-09-07T08:54:48+09:00
300075941,나루토 Naruto 51,나루토 Naruto,51,,,키시모토 마사시,대원씨아이(만화),2010-09,4950,,1544,795,2026-09-07T08:54:48+09:00
399056425,다크 개더링 3,다크 개더링,3,,- 픽시하우스 / 초판 한정 : 띠지+일러스트 카드,콘도 켄이치,코믹레인,2026-08,6300,,1560,796,2026-09-07T08:54:48+09:00
397818083,장송의 프리렌 11,장송의 프리렌,11,,,야마다 카네히토,학산문화사(만화),2024-02,6300,,1410,797,2026-09-07T08:54:48+09:00
399056069,다크 개더링 2,다크 개더링,2,,- 픽시하우스 /초판 한정: 띠지 + 일러스트 카드,콘도 켄이치,코믹레인,2026-08,6300,,1550,798,2026-09-07T08:54:48+09:00
389359455,그리스 로마 신화를 한 번도 안 읽어볼 수는 없잖아,그리스 로마 신화를 한 번도 안 읽어볼 수는 없잖아,,,,Team. StoryG,oldstairs(올드스테어즈),2026-04,21600,,1413,799,2026-09-07T08:54:48+09:00
395531975,통제구역관리부 3,통제구역관리부,3,,,탄광,다산코믹스,2026-06,18900,,1515,800,2026-09-07T08:54:48+09:00
395945229,여주인공인데 잘생긴 아이돌♂이 되었습니다?! 1,여주인공인데 잘생긴 아이돌♂이 되었습니다?!,1,,,아이젠 마나,학산문화사(만화),2026-06,5400,10.0,1440,801,2026-09-07T08:54:48+09:00
375536744,풀 나이트 3,풀 나이트,3,,- S코믹스,야스다 카스미,㈜소미미디어,2025-11,5400,10.0,1480,802,2026-09-07T08:54:48+09:00
400856516,아오아시 17,아오아시,17,,,코바야시 유고,대원씨아이(만화),2026-08,5850,,1370,803,2026-09-07T08:54:48+09:00
